temperature,humidity,ph,soil_moisture,yield
26.4,71.7,6.6,45.1,1.65
26.5,71.7,6.3,29.9,1.38
27.4,33.4,7.2,56.6,2.13
24.7,78.0,5.7,34.5,1.1
19.0,47.6,7.3,41.6,0.64
33.7,66.0,6.7,35.0,2.07
27.3,64.2,7.0,27.0,1.94
25.7,75.3,5.6,37.2,2.04
28.8,70.0,6.0,55.3,1.84
21.4,73.5,5.7,27.5,1.42
23.1,64.7,6.7,48.8,1.98
26.5,75.2,6.4,40.8,0.83
31.7,70.4,6.5,59.5,1.7
25.0,30.3,7.1,55.4,1.17
21.1,71.2,7.3,38.3,1.29
34.5,51.5,6.3,40.5,2.42
15.3,60.2,6.1,20.2,1.46
17.3,73.0,6.7,49.7,1.1
19.1,41.6,6.5,57.1,1.68
23.4,58.5,7.5,44.1,1.9
25.7,75.1,6.2,46.8,1.13
20.2,51.4,6.4,32.2,0.87
34.4,70.5,7.2,57.7,1.65
27.1,31.0,6.9,51.9,0.79
16.7,49.8,5.9,37.9,1.13
28.0,48.9,5.5,22.3,1.83
27.1,64.2,6.9,51.6,1.24
25.0,36.7,5.6,29.5,0.79
24.3,50.2,5.8,52.1,0.55
26.0,70.7,7.0,42.9,0.92
20.1,50.8,5.7,48.5,0.65
31.6,34.4,6.0,32.0,1.99
27.1,46.8,7.5,28.9,2.08
18.1,66.7,6.4,23.8,2.25
22.2,67.5,6.4,22.3,0.72
33.2,41.2,7.5,29.1,2.46
33.3,60.1,5.9,56.6,2.4
27.4,72.0,6.1,24.0,2.22
33.5,68.1,7.2,44.0,2.18
15.2,64.8,6.8,39.4,1.98
19.0,33.0,7.0,25.0,1.55
19.6,62.4,6.3,26.3,1.16
34.1,31.4,5.9,32.0,0.64
24.8,74.4,6.0,32.4,1.41
18.9,74.2,6.3,27.6,2.46
22.2,59.2,6.1,39.5,1.51
27.6,72.9,6.0,39.9,0.88
20.5,78.0,6.6,37.7,1.67
20.5,56.4,6.4,48.5,1.23
33.8,43.6,5.6,23.7,2.3
32.2,55.4,6.8,36.2,1.84
18.1,35.9,6.2,44.9,0.85
27.2,36.0,6.8,51.7,2.48
15.9,71.0,5.6,53.9,1.7
32.9,32.1,7.0,27.4,2.04
26.6,38.2,5.8,48.9,2.07
16.7,54.1,6.2,57.0,2.46
30.0,76.6,6.0,54.0,0.7
22.5,77.6,6.1,45.8,1.09
22.0,62.9,6.3,29.3,1.71
23.0,61.4,7.5,44.5,0.8
34.5,57.7,6.0,57.6,0.83
33.9,72.4,6.9,58.9,2.37
19.2,39.8,6.6,23.2,0.69
19.2,78.4,6.6,40.4,1.72
31.8,37.8,5.9,22.4,0.7
34.5,52.3,6.4,55.3,1.77
25.8,65.6,7.1,39.6,1.28
31.5,57.0,5.9,21.3,1.17
19.6,63.8,7.5,23.9,1.13
22.8,43.4,7.3,34.7,2.04
24.4,59.3,6.3,36.6,1.89
34.4,63.4,6.4,48.3,0.69
16.0,46.4,7.2,52.1,2.43
24.4,64.1,5.6,54.1,2.2
21.7,47.8,6.2,47.9,0.91
27.4,38.8,6.4,29.8,1.27
28.9,51.0,6.6,49.3,0.9
26.0,40.0,6.6,22.6,1.45
25.2,65.7,6.2,30.6,1.54
26.8,72.4,7.0,58.6,1.91
19.2,54.3,5.9,48.2,1.89
15.9,53.6,6.8,48.8,2.08
21.4,45.7,6.5,52.9,2.25
30.3,74.4,6.9,20.5,0.57
19.6,39.4,5.8,45.4,1.82
23.4,36.4,7.4,21.3,1.66
21.5,30.9,6.9,30.1,1.21
26.5,74.8,7.0,23.8,0.82
26.4,46.9,7.2,53.0,0.92
21.4,32.7,6.7,33.4,2.18
23.8,42.4,7.2,51.7,0.81
32.9,71.4,6.2,41.2,2.05
17.2,61.8,7.2,57.3,1.18
29.9,79.0,5.6,40.1,1.27
15.5,73.1,6.9,37.9,1.93
22.3,52.8,7.4,50.6,1.66
23.7,68.0,6.3,27.5,0.58
23.9,45.8,5.8,45.5,1.03
24.1,75.7,5.7,40.3,0.51
17.0,37.1,6.5,40.6,1.31
31.3,37.4,5.9,29.0,0.83
26.3,36.2,6.2,22.4,1.39
17.8,43.6,6.3,28.0,0.6
21.4,57.7,5.7,44.6,1.62
21.1,72.3,6.4,57.1,1.93
24.3,49.9,7.1,56.9,1.56
26.4,70.2,6.8,24.7,2.47
18.6,41.4,7.0,21.2,2.18
24.5,59.2,6.7,55.0,1.84
20.5,79.1,6.4,37.3,2.19
17.5,67.4,6.9,47.1,1.84
30.4,53.2,7.1,26.9,1.28
23.0,75.2,6.3,36.8,1.91
33.1,68.2,6.3,41.5,1.99
19.7,42.5,7.0,58.3,1.14
23.7,66.2,6.9,27.6,1.27
22.9,56.9,6.9,48.3,2.15
19.8,60.2,5.8,37.4,1.99
30.0,35.1,6.0,22.7,1.31
21.1,51.0,7.0,36.2,1.88
21.8,47.2,6.9,31.3,1.93
18.6,49.0,5.7,35.8,2.34
31.6,53.6,5.6,41.6,1.63
28.1,61.3,6.9,41.3,1.17
30.4,45.7,6.7,44.8,1.51
15.3,61.8,6.5,27.1,2.28
22.8,39.4,6.3,32.9,2.45
32.4,31.8,7.2,25.8,1.55
28.0,39.8,5.6,45.5,1.53
19.7,49.4,6.0,50.6,1.25
18.5,78.0,6.7,27.3,1.53
34.0,70.7,6.4,37.8,0.89
24.2,64.5,5.9,39.1,1.6
28.5,58.6,5.7,22.6,1.0
28.4,36.4,6.6,37.0,1.95
17.0,46.0,7.4,32.4,1.45
23.2,38.9,7.3,58.2,0.82
23.6,34.9,5.6,57.2,1.11
31.7,44.2,7.0,42.4,1.39
24.2,49.7,7.5,25.6,1.95
34.5,72.6,7.1,54.7,2.48
33.2,78.8,6.0,41.6,2.39
29.8,32.0,7.1,40.1,1.76
22.3,67.0,7.3,33.9,1.38
23.1,66.4,6.6,28.0,0.62
33.0,59.8,7.2,41.4,1.09
30.3,45.6,7.2,24.8,1.93
34.7,37.9,7.0,53.0,1.17
30.5,65.3,6.3,57.0,1.84
28.1,44.5,6.0,34.6,0.58
23.0,72.1,5.7,31.2,1.75
15.4,42.0,7.5,25.5,2.21
20.8,56.6,7.1,54.2,2.09
31.7,32.0,6.6,29.4,2.38
27.6,61.7,6.9,55.4,1.7
29.5,30.2,6.8,25.6,0.87
19.9,74.5,5.9,55.3,1.52
34.6,54.1,7.1,50.7,0.76
21.5,39.6,7.0,35.4,1.01
20.2,50.5,6.2,57.3,0.59
28.6,53.7,6.4,20.1,1.14
24.9,39.1,7.3,46.9,0.7
31.7,31.1,7.4,41.5,1.87
25.7,74.7,6.6,53.2,1.24
15.8,37.1,6.8,32.3,2.34
31.7,71.1,6.4,26.6,2.15
19.6,67.3,6.3,45.9,1.83
23.8,69.5,6.2,56.4,0.56
34.0,38.0,6.0,47.9,1.88
32.8,58.7,6.0,32.1,1.24
22.9,33.3,6.5,56.1,0.7
16.4,65.4,5.7,22.1,1.39
30.1,67.8,6.9,51.4,2.12
21.3,67.5,5.8,46.9,1.42
21.4,41.1,6.4,41.0,1.42
18.3,36.2,5.9,51.9,2.1
32.4,50.3,5.6,28.8,1.27
21.1,76.7,7.0,40.6,2.37
18.3,54.2,6.1,23.5,1.87
24.1,31.0,6.9,52.0,2.24
21.2,53.2,5.7,52.7,0.9
26.3,73.7,7.0,49.2,1.81
15.9,72.6,7.5,20.9,2.05
33.4,55.4,6.9,32.6,2.1
28.2,58.8,6.6,45.5,1.9
22.3,35.2,6.4,32.3,1.76
26.5,34.3,7.1,40.1,2.06
23.4,33.7,5.9,44.8,1.04
32.0,78.6,6.0,21.4,1.43
30.6,70.0,6.8,53.7,0.8
31.6,67.7,6.6,31.4,1.76
19.3,76.7,5.8,22.7,0.57
30.1,67.3,7.1,36.3,1.52
30.6,77.0,7.0,32.8,2.0
24.0,61.7,5.5,23.3,1.96
33.3,74.8,7.4,27.0,2.39
23.8,78.4,6.8,28.9,0.97
34.7,49.7,5.7,34.5,0.51
15.9,62.1,5.8,50.1,2.45
30.4,66.2,7.3,53.8,0.52
24.7,61.5,6.9,44.1,1.49
17.9,61.5,6.8,33.2,0.75
30.0,55.2,6.3,55.4,0.7
17.0,51.1,6.3,45.1,1.46
21.9,52.2,7.1,37.6,1.54
32.3,78.4,7.0,26.9,1.88
19.1,31.2,5.9,57.9,1.78
31.9,44.1,7.1,21.4,2.2
28.4,65.2,7.0,27.4,2.28
21.4,61.0,7.4,51.5,0.88
34.8,57.8,6.9,43.7,1.22
21.5,31.8,5.5,56.0,2.11
29.3,64.4,6.1,47.5,1.11
32.6,46.4,6.5,53.6,2.41
27.7,45.7,5.6,38.9,0.67
26.8,63.3,7.0,54.3,1.72
23.3,45.4,6.9,49.5,1.98
23.2,65.6,6.6,41.7,0.61
16.4,51.6,6.6,45.9,2.12
27.3,55.7,6.4,36.5,2.18
30.0,69.2,5.9,38.5,0.88
21.5,77.9,5.6,45.8,1.81
34.7,68.5,7.4,45.9,2.31
19.7,57.1,5.6,31.8,2.05
21.8,72.7,6.6,47.9,1.5
27.9,57.7,5.7,54.4,2.27
29.8,45.3,5.8,30.5,1.48
34.7,54.8,7.2,24.2,2.24
20.0,71.0,7.4,36.8,0.98
23.8,78.4,6.8,55.6,2.12
23.9,37.9,7.1,34.1,2.25
25.0,79.3,6.3,28.1,1.8
26.8,59.1,6.6,52.9,1.33
32.1,42.6,7.4,50.7,1.91
22.8,64.8,6.2,37.3,1.37
15.1,52.4,7.5,27.2,1.36
17.8,56.9,6.1,40.5,2.22
18.1,44.7,6.0,58.0,1.59
33.5,41.2,7.0,59.5,0.64
32.8,65.1,6.0,20.0,1.1
34.5,32.2,6.7,56.2,1.18
31.4,33.2,6.3,21.3,1.49
23.3,75.0,7.4,23.3,1.85
33.1,47.7,5.6,31.3,1.38
25.6,75.9,7.0,23.5,0.62
15.1,53.1,6.2,34.5,0.87
17.3,60.1,7.1,49.4,1.25
22.6,35.4,7.1,25.5,2.21
30.4,67.9,7.4,23.2,1.79
23.1,40.5,6.1,44.0,1.7
23.5,77.2,5.7,27.6,2.3
31.9,67.8,6.9,58.4,1.12
16.3,71.1,5.9,48.8,1.66
30.7,76.3,5.8,56.9,2.44
27.0,53.1,6.1,43.1,1.74
16.1,70.2,7.0,55.7,1.16
28.8,34.3,5.8,34.5,1.32
22.5,47.4,6.8,39.2,2.0
34.4,75.4,5.6,43.7,2.28
25.5,63.9,7.5,41.3,2.4
18.8,40.9,7.0,56.2,0.6
24.9,38.3,6.1,32.1,2.33
25.5,44.4,6.8,53.8,0.66
17.5,48.8,6.5,38.5,1.07
20.2,32.5,7.5,25.1,1.74
22.9,75.8,6.1,54.7,2.32
33.5,65.9,5.7,59.7,0.58
22.7,68.3,5.8,28.1,1.73
33.2,63.3,6.6,56.3,2.25
34.9,73.9,5.8,38.5,1.94
20.8,79.7,6.4,31.1,1.7
26.8,40.4,6.1,45.0,1.21
29.0,52.5,6.7,29.3,2.1
34.0,73.2,6.1,38.8,0.83
24.2,43.6,7.1,27.5,0.81
17.0,32.0,7.2,25.5,1.04
29.9,76.4,6.0,37.4,0.63
18.6,49.5,5.8,20.4,1.97
16.5,70.7,7.3,31.9,1.29
19.6,45.1,6.6,36.7,1.15
17.0,39.1,5.9,26.9,0.93
23.7,50.5,5.9,46.6,1.08
31.7,70.5,6.6,51.2,0.93
23.7,55.5,5.5,22.0,1.62
21.4,48.3,7.2,57.9,1.23
22.3,42.6,6.7,45.1,1.79
30.9,65.8,7.5,56.2,1.87
25.2,56.0,5.8,40.2,2.36
34.7,46.4,6.8,29.7,1.91
17.4,40.0,7.2,21.9,1.81
20.3,38.6,7.4,28.9,0.84
34.5,41.8,6.5,25.8,0.72
25.9,56.9,5.9,37.3,0.58
28.0,34.3,7.4,35.3,1.58
32.5,33.5,6.2,51.8,2.27
15.0,57.7,7.0,31.6,1.02
18.2,73.7,6.1,53.3,2.01
34.6,32.7,5.7,20.6,0.81
32.9,44.5,5.9,58.8,1.58
31.3,64.8,6.1,39.9,0.69
22.9,54.5,7.2,20.5,1.66
26.9,72.3,5.6,47.7,1.81
